,dist,curvature
180,1.8,0.3805304289876996
181,1.81,0.37192800519355357
182,1.82,0.3634416841016487
183,1.83,0.35506683999056965
184,1.84,0.3467988592222824
185,1.85,0.3386331389966967
186,1.86,0.33056508564430226
187,1.87,0.32259011247509944
188,1.8800000000000001,0.31470363719870853
189,1.8900000000000001,0.30690107892738266
190,1.9000000000000001,0.29917785477038084
191,1.9100000000000001,0.29152937602514983
192,1.92,0.283951043967556
193,1.93,0.27643824524037364
194,1.94,0.2689863468361003
195,1.95,0.26159069066700336
196,1.96,0.2542465877121092
197,1.97,0.2469493117275171
198,1.98,0.23969409250301135
199,1.99,0.23247610864438267
200,2.0,0.2252904798571174
201,2.0100000000000002,0.2181322587031791
202,2.02,0.21099642179837444
203,2.0300000000000002,0.20387786041334388
204,2.04,0.19677137043635914
